Feature,Importance
price_change,0.18224889582282836
rsi,0.14442111953884929
volume,0.133276319943305
close_price,0.09866006583999919
sma_5,0.06828865532899159
sentiment,0.04435750792953374
polarity,0.032693375935259665
open_price,0.03053833174144973
bow_new,0.03023024888411863
volatility,0.02956687592194586
tfidf_new,0.018405756289863916
subjectivity,0.017311220081125376
bow_stock,0.01361275856661309
bow_increase,0.011841339267556652
tfidf_product,0.009418044605509816
bow_strong,0.008755380740078433
bow_investor,0.007758254888179857
tfidf_practice,0.0074607650787705685
bow_regulatory,0.006959109148457831
tfidf_increase,0.006722862082038413
tfidf_market,0.006620976684060574
tfidf_earnings,0.006566869955389387
bow_announced,0.006434956019733304
tfidf_investor,0.006155488344673454
bow_product,0.0055074639950448406
tfidf_announced,0.005350200564985878
bow_profit,0.005346225696596567
tfidf_company,0.0045453415311467755
tfidf_positive,0.004134250988522907
bow_quarter,0.004106534926090738
tfidf_stock,0.0036648642707886783
tfidf_strong,0.003612062400150956
tfidf_recordbreaking,0.0035638963629168133
bow_recall,0.003421655387818845
tfidf_recall,0.0033519785961382506
bow_earnings,0.0032490444997936786
tfidf_patent,0.0027845181134654824
bow_rate,0.002486111111111111
tfidf_accelerated,0.0023370718295337347
bow_market,0.00227956181622357
tfidf_rate,0.0019999999999999983
tfidf_rating,0.0016811402217643042
bow_recordbreaking,0.0016596166556510238
tfidf_quarter,0.0013080168776371302
tfidf_impact,0.001200864573488746
tfidf_share,0.0011762091038406888
tfidf_plan,0.0011340206185567008
bow_rating,0.00101639344262295
tfidf_regulatory,0.0007777777777777783
bow_company,3.6390643584935674e-18
tfidf_profit,0.0
bow_negatively,0.0
bow_impact,0.0
tfidf_negatively,0.0
bow_share,0.0
