movie,content_score,popularity_score,hybrid_score
Forrest Gump,0.6761234037828132,0.6666666666666666,0.6732863826479693
Get Out,0.47809144373375745,0.8888888888888888,0.6614637450083266
The Shining,0.7606388292556648,0.3333333333333333,0.6324471804789653
Titanic,0.6761234037828132,0.4444444444444444,0.6066197159813026
Joker,0.5976143046671968,0.3333333333333333,0.5701630145937416
La La Land,0.6900655593423544,0.1111111111111111,0.5680171473602795
The Dark Knight,0.7606388292556648,0.1111111111111111,0.5657805138122987
Interstellar,0.5976143046671968,0.1111111111111111,0.4968296812604082
Parasite,0.5916079783099615,0.0,0.4555381432986704
Inception,0.47809144373375745,0.2222222222222222,0.40133067728029687
