epoch,train_loss,train_acc,valid_loss,valid_acc,lr
1,4.937361928859029,0.008287292817679558,10.590984566426183,0.007822685788787483,0.0005
2,4.940404185932644,0.008287292817679558,4.863358436693891,0.010430247718383311,0.0005
3,4.933117143796074,0.009208103130755065,4.80734720192801,0.014341590612777053,0.0005
4,4.918527148266085,0.010474217311233887,4.801903500861575,0.014341590612777053,0.0005
5,4.905030917067554,0.010474217311233887,5.919258555968084,0.009778357235984355,0.0005
6,4.86888969537303,0.011740331491712708,4.767479192169269,0.013689700130378096,0.0005
7,4.846326947431757,0.014848066298342542,4.717381847262227,0.020860495436766623,0.0005
8,4.813926081191989,0.017265193370165747,4.704018541855794,0.02151238591916558,0.0005
9,4.793364395752796,0.021523941068139964,5.04657164763907,0.022164276401564535,0.0005
10,4.776655082983646,0.022099447513812154,4.789941430247281,0.030638852672750978,0.0005
11,4.7139784442346615,0.023250460405156537,5.283820321382724,0.04302477183833116,0.0005
12,4.665007060843059,0.02935082872928177,4.6954724456060974,0.05084745762711864,0.0005
13,4.629250326209306,0.03487569060773481,4.729702235822416,0.056714471968709254,0.0005
14,4.609224260621747,0.03729281767955801,4.445867172276025,0.05541069100391134,0.0005
15,4.579081706579219,0.04132136279926335,4.426909329838361,0.060625814863103,0.0005
16,4.549114880640863,0.04546500920810313,4.6685353027950525,0.054758800521512385,0.0005
17,4.516706529901831,0.051335174953959485,4.325857365768612,0.06910039113428944,0.0005
18,4.472405503907037,0.051335174953959485,4.270294974649124,0.08670143415906127,0.0005
19,4.44050051230752,0.059507366482504605,4.308197602143966,0.07301173402868318,0.0005
20,4.424793668434326,0.06203959484346225,4.246843845312723,0.08279009126466753,0.0005
21,4.386521906703436,0.07124769797421732,4.159013247707521,0.09256844850065189,0.0005
22,4.3458394380783725,0.08367863720073665,4.088954862746297,0.1179921773142112,0.0005
23,4.313007218622591,0.0850598526703499,4.0770528443944505,0.1179921773142112,0.0005
24,4.285240254129933,0.08989410681399632,4.071067787056019,0.121251629726206,0.0005
25,4.260156698209365,0.10117403314917127,3.9671633392766683,0.136245110821382,0.0005
26,4.221250282027665,0.10600828729281768,3.983175727814397,0.13689700130378096,0.0005
27,4.196669986015306,0.11337476979742174,4.011039480858396,0.1271186440677966,0.0005
28,4.191541466265093,0.11498618784530387,4.19621062527424,0.15384615384615385,0.0005
29,4.143790360094214,0.1255755064456722,3.9571218907133696,0.15384615384615385,0.0005
30,4.115675016880914,0.1298342541436464,3.864459825463525,0.16362451108213819,0.0005
31,4.089104757783162,0.13674033149171272,3.849914883696893,0.16558018252933507,0.0005
32,4.070243471015663,0.14502762430939228,3.845377530392643,0.17079530638852672,0.0005
33,4.039785240236567,0.1505524861878453,3.7507213072795444,0.17601043024771837,0.0005
34,4.006952097841828,0.15906998158379373,4.0531639546117075,0.17340286831812254,0.0005
35,3.9946454049913043,0.16217771639042358,3.73974687459416,0.18252933507170796,0.0005
36,3.9672358295096437,0.1682780847145488,3.5680161461214666,0.20208604954367665,0.0005
37,3.949032436637808,0.16873848987108656,3.625469659422336,0.19752281616688397,0.0005
38,3.934479864921359,0.1703499079189687,3.5830938676190036,0.2014341590612777,0.0005
39,3.9086134745490706,0.18255064456721917,3.5851685531447113,0.2138200782268579,0.0005
40,3.8877624429172353,0.18289594843462248,3.6034306960746236,0.20925684485006518,0.0005
